d1487,496.28,Nizatidine Capsules,8779,Teva Pharmaceuticals,"150 mg, 60 count bottle (NDC 0591-3137-60)"
d1488,424.97,Nizatidine Capsules,720,Glenmark Pharmaceuticals,"300 mg, 30 count bottle (NDC 68462-0426-30)"
d1489,577.04,Nizatidine Capsules,8587,Glenmark Pharmaceuticals,"150 mg, 60 count bottle (NDC 68462-0425-60)"
d149,117.3,Bumetanide Tablets,7533,"Avet Pharmaceuticals, Inc. (formerly Heritage Pharma)",2 mg 1000 Tablets (NDC 14539-702-10)
d1490,878.22,Norethindrone (NOR QD) Tablets,1923,Allergan,"Nor QD, 0.35 mg norethindrone, Tablets, (NDC  52544-235-28)"
d1491,617.67,Norethindrone Acetate/Ethinyl Estradiol (Femhrt) Tablets,7761,Allergan,Femhrt (NDC 0430-0145-14)
d1492,291.77,Norethindrone Acetate/Ethinyl Estradiol/Ferrous Fumarate Kit,2622,Allergan,Tilia Fe (NDC 51862-284-03)
d1493,880.78,Norethindrone Acetate/Ethinyl Estradiol/Ferrous Fumarate Kit,2864,Allergan,ESTROSTEP Fe (NDC 0430-0005-31)
d1494,511.91,Norethindrone/Ethinyl Estradiol Kit,5067,"Endo Pharmaceuticals, Inc.",(NDC 0603-7521-17)
d1495,75.22,Norethindrone/Ethinyl Estradiol Kit,6241,"Endo Pharmaceuticals, Inc.",(NDC 0603-7521-49)
d1496,877.05,Norethindrone/Ethinyl Estradiol Kit,7910,"Endo Pharmaceuticals, Inc.",(NDC 0603-7525-17)
d1497,693.55,Norethindrone/Ethinyl Estradiol Kit,3943,"Endo Pharmaceuticals, Inc.",(NDC 0603-7525-49)
d1498,529.08,Nystatin and Triamcinolone Acetonide Topical Cream,7613,Sandoz,"100,000 units per gram; 0.1%  (NDCs 0168-0081-15, 0168-0081-30, and 0168-0081-60)"
d1499,992.86,Nystatin Topical Cream,2206,Sandoz,"100,000 units per gram  (NDCs 0168-0054-15 and 0168-0054-30)"
d15,727.08,Adapalene/Benzoyl Peroxide Topical Gel,3682,Teva Pharmaceuticals,0.1/2.5% PMP 45 g (NDC 0472-0310-38)
d150,388.11,Bupivacaine Hydrochloride and Epinephrine Injection,9989,"Fresenius Kabi USA, LLC",Sensorcaine w/EPI 0.25% (125 mg per 50 mL) (2.5 mg per mL) MDV (NDC 63323-461-57)
d1500,741.06,Olanzapine and Fluoxetine (Symbyax) Capsules,5962,Eli Lilly and Co.,12mg/50mg per capsule (NDC Package Code 0002-3234-30)
d1501,12.01,Olanzapine and Fluoxetine (Symbyax) Capsules,2827,Eli Lilly and Co.,6mg/50mg per capsule (NDC Package Code 0002-3233-30)
d1502,765.94,Olopatadine Hydrochloride Ophthalmic Solution,7580,Teva Pharmaceuticals,"0.2%, 2.5 mL Bottle (NDC 0093-7684-32)"
d1503,350.07,Ombitasvir; Paritaprevir; Ritonavir (Technivie) Tablets,4697,Abbvie,212.5mg; 75mg; 50mg (NDC 0074-3082-28)
d1504,371.62,Ondansetron Hydrochloride Injection,1001,Gland Pharma Limited,2 mg/mL 2mL vial (NDC 70860-776-02)
d1505,744.74,Ondansetron Hydrochloride Injection,2416,Gland Pharma Limited,2 mg/mL 20mL vial (NDC 70860-777-20)
d1506,461.87,Ondansetron Hydrochloride Injection,3429,Apotex Corp.,Ondansetron 2mg/mL 2mL vials Box of 25 vials (NDC 60505-6130-05)
d1507,811.67,Ondansetron Hydrochloride Injection,7493,Sagent Pharmaceuticals,40mg/20mL EA 1 Vial (NDC 25021-782-20)
d1508,917.67,Ondansetron Hydrochloride Injection,7145,Sagent Pharmaceuticals,4mg/2mL PK 25 Vials (NDC 25021-777-02)
d1509,729.06,Ondansetron Hydrochloride Injection,6769,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),"2 mg/mL, 2 mL vial, 25 count (NDC 55150-125-02)"
d151,782.24,Bupivacaine Hydrochloride and Epinephrine Injection,6633,"Fresenius Kabi USA, LLC",Sensorcaine w/EPI 0.5% (250 mg per 50 mL) (5 mg per mL) MDV (NDC 63323-463-57)
d1510,62.82,Ondansetron Hydrochloride Injection,5162,Heritage Pharma,"4mg/2mL, 10 (NDC 23155-547-41 )"
d1511,45.54,Ondansetron Hydrochloride Injection,1150,"Hospira, Inc.",40 mg/20 mL (2 mg/mL); Multiple Dose Glass Fliptop Vial (NDC 00409-4759-01)
d1512,962.45,Ondansetron Hydrochloride Injection,7427,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","2 mg/mL, 2 mL vial (NDC 0641-6078-25)"
d1513,234.99,Ondansetron Hydrochloride Injection,4038,"Hospira, Inc.",4 mg/2 mL (2 mg/mL); Single Dose Glass Fliptop Vial (NDC 00409-4755-03)
d1514,129.85,Ondansetron Hydrochloride Injection,7090,"Hospira, Inc.",4 mg/2 mL (2 mg/mL); iSecure Luer Lock Glass Syringe (NDC 00409-1120-12)
d1515,115.52,Ondansetron Hydrochloride Injection,3958,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),"2 mg/mL, 20 mL vial, 1 count (NDC 55150-126-20)"
d1516,18.96,Ondansetron Hydrochloride Injection,1502,"Fresenius Kabi USA, LLC","Single dose, amber vial, 4 mg per 2 mL (NDC 63323-373-02)"
d1517,730.33,Ondansetron Hydrochloride Injection,4072,"Fresenius Kabi USA, LLC","Multi dose, amber vial, 40 mg per 20 mL (NDC 63323-374-20)"
d1518,166.25,Ondansetron Hydrochloride Injection,8626,"Fresenius Kabi USA, LLC","Single dose, Simplist syringe, 4 mg per 2 mL (NDC 76045-103-20)"
d1519,864.52,Ondansetron Hydrochloride Injection,5725,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","2 mg/mL, 20 mL vial (NDC 0143-9890-01)"
d152,156.56,Bupivacaine Hydrochloride and Epinephrine Injection,2630,"Fresenius Kabi USA, LLC",Sensorcaine MPF w/EPI 0.25% (25 mg per 10 mL) (2.5 mg per mL) SDV (NDC 63323-468-17)
d1520,697.28,Ondansetron Hydrochloride Injection,1927,Heritage Pharma,"Inj4mg/2mL, 25 (NDC 23155-549-31)"
d1521,905.95,Ondansetron Hydrochloride Injection,6040,Heritage Pharma,PPRx4mg/2mL (NDC 23155-548-41)
d1522,426.56,Ondansetron Hydrochloride Injection,3619,Heritage Pharma,PPRx4mg/2mL (NDC 23155-548-42)
d1523,393.6,Ondansetron Hydrochloride Injection,7903,Gland Pharma Limited,"2 mg/mL, 2 mL vial (NDC 72266-123-25)"
d1524,743.87,Ondansetron Hydrochloride Injection,9683,Gland Pharma Limited,"2 mg/mL, 20 mL vial (NDC 72266-124-01)"
d1525,204.85,Ondansetron Hydrochloride Injection,1616,Baxter Healthcare,"Ondansetron Injection, USP (2 mg/mL) 2 mL Single Use Glass Vial (25 x 2 mL) (NDC 36000-012-25)"
d1526,30.62,Oxalaplatin Injection,9755,Gland Pharma Limited,"50 mg/10 mL, 10 vials per pack (NDC 72266-125-10)"
d1527,18.56,Oxalaplatin Injection,9406,Gland Pharma Limited,"100 mg/20 mL, 10 vials per pack (NDC 72266-126-10)"
d1528,368.87,Oxytocin Injection (Synthetic),2092,"Fresenius Kabi USA, LLC",100 USP Units per 10 mL (10 USP units per mL); Multiple dose vial;  (NDC 63323-012-10)
d1529,368.36,Oxytocin Injection (Synthetic),2933,"Fresenius Kabi USA, LLC",300 USP Units per 30 mL (10 USP Units per mL); Multiple dose vial; (NDC 63323-012-30)
d153,846.37,Bupivacaine Hydrochloride and Epinephrine Injection,6262,"Fresenius Kabi USA, LLC",Sensorcaine MPF w/EPI .25% (75 mg per 30 mL) (2.5 mg per mL) SDV (NDC 63323-468-37)
d1530,939.57,Oxytocin Injection (Synthetic),4083,"Fresenius Kabi USA, LLC",10 USP Units per mL (10 USP units per mL); (NDC 63323-012-01)( NDC 63323-0012-11)
d1531,346.38,Oxytocin Injection (Synthetic),7795,Par Pharmaceutical,"Packages of six 50 mL Pharmacy Bulk Packages, each containing 10 units of oxytocin per mL (total = 500 units of oxytocin per vial), (NDC 42023-130-06)"
d1532,577.07,Oxytocin Injection (Synthetic),8325,Par Pharmaceutical,"Packages of twenty-five oversized 1-mL vials, each containing 10 units of oxytocin, (NDC 42023-116-25)"
d1533,757.75,Oxytocin Injection (Synthetic),7790,Par Pharmaceutical,"Packages of twenty-five 10 mL multiple-dose vial, each containing 10 units of oxytocin per mL (total = 100 units of oxytocin per vial) (NDC 42023-116-02)"
d1534,627.19,Paclitaxel Injection (protein-bound particles),9436,Bristol Myers Squibb Co.,"Abraxane® 100 mg, single dose vial (NDC 68817-134-50)"
d1535,338.37,"Paclitaxel Injection, USP",8733,Mylan Institutional,"100 mg in 16.7 mL (6 mg/mL), multi-dose vial (NDC 67457-449-17)"
d1536,436.09,Pantoprazole Sodium for Injection,3706,Sun Pharmaceutical Industries Inc.,"40 mg, 10 vials (NDC 62756-129-44)"
d1537,441.96,Pantoprazole Sodium for Injection,5182,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),"40 mg, 10 vials (NDC 55150-202-10)"
d1538,486.13,Pantoprazole Sodium for Injection,4765,Pfizer Pharmaceuticals,"40 mg, 10 vials (NDC 0008-0923-55)"
d1539,488.02,Pantoprazole Sodium for Injection,9408,Pfizer Pharmaceuticals,"40 mg, 25 vials (NDC 0008-0923-60)"
d154,102.39,Bupivacaine Hydrochloride and Epinephrine Injection,2510,"Fresenius Kabi USA, LLC",Sensorcaine MPF w/EPI 0.5% (50 mg per 10 mL) (5 mg per mL) SDV (NDC 63323-462-17)
d1540,465.86,Pantoprazole Sodium for Injection,9887,Pfizer Pharmaceuticals,"40 mg, 10 vials (NDC 0008-2001-10; Amerinet)"
d1541,312.36,Pantoprazole Sodium for Injection,7871,Pfizer Pharmaceuticals,"40 mg, 25 vials (NDC 0008-2001-25; Amerinet)"
d1542,314.99,Pantoprazole Sodium for Injection,8095,Pfizer Pharmaceuticals,"40 mg, 10 vials (NDC 0008-4001-10; PremierPro)"
d1543,501.9,Pantoprazole Sodium for Injection,3319,Pfizer Pharmaceuticals,"40 mg, 25 vials (NDC 0008-4001-25; PremierPro)"
d1544,602.51,Pantoprazole Sodium for Injection,8307,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","40 mg, 10 vials (NDC 0143-9284-10)"
d1545,732.69,Pantoprazole Sodium for Injection,2232,Sandoz,"40 mg, 10 vials (NDC 0781-3232-95)"
d1546,431.14,Parathyroid Hormone (Natpara) Injection,192,Takeda Pharmaceuticals USA Inc.,25mcg Cartridge: (NDC 68875-0202-1); Carton: (NDC 68875-0202-2) (contains 2 cartridges)
d1547,103.99,Parathyroid Hormone (Natpara) Injection,6742,Takeda Pharmaceuticals USA Inc.,50mcg   Cartridge: (NDC 68875-0203-1); Carton: (NDC 68875-0203-2) (contains 2 cartridges)
d1548,420.28,Parathyroid Hormone (Natpara) Injection,9489,Takeda Pharmaceuticals USA Inc.,75mcg   Cartridge: (NDC 68875-0204-1); Carton: (NDC 68875-0204-2) (contains 2 cartridges)
d1549,472.5,Parathyroid Hormone (Natpara) Injection,5035,Takeda Pharmaceuticals USA Inc.,100mcg   Cartridge: (NDC 68875-0205-1); Carton: (NDC 68875-0205-2) (contains 2 cartridges)
d155,304.39,Bupivacaine Hydrochloride and Epinephrine Injection,4476,"Fresenius Kabi USA, LLC",Sensorcaine MPF w/EPI 0.5% (150 mg per 30 mL) (5 mg per mL) SDV (NDC 63323-462-37)
d1550,236.85,Paricalcitol Injection,2971,"Mylan Pharmaceuticals Inc., a Viatris Company",(Solution in Single Dose Vials) [0.002 mg / 1 ml]
d1551,844.45,Paricalcitol Injection,826,"Mylan Pharmaceuticals Inc., a Viatris Company",(Solution in Multi Dose Vials) [0.01 mg / 2 ml](NDC 67457-389-25)
d1552,553.95,Peginterferon alfa-2b (Sylatron),9335,Merck Sharp & Dohme Corp.,"SYLATRON (peginterferon alfa-2b) A box containing one 200 mcg per vial of SYLATRON powder and one 5 mL vial of Sterile Water for Injection, USP, 2 B-D Safety Lok syringes with a safety sleeve and 2 alcohol swabs. (NDC 0085-4347-01)"
d1553,923.92,Peginterferon alfa-2b (Sylatron),3541,Merck Sharp & Dohme Corp.,"SYLATRON (peginterferon alfa-2b) A box containing one 300 mcg per vial of SYLATRON powder and one 5 mL vial of Sterile Water for Injection, USP, 2 B-D Safety Lok syringes with a safety sleeve and 2 alcohol swabs. (NDC 0085-4348-01)"
d1554,298.06,Peginterferon alfa-2b (Sylatron),5498,Merck Sharp & Dohme Corp.,"SYLATRON (peginterferon alfa-2b) A box containing one 600 mcg per vial of SYLATRON powder and one 5 mL vial of Sterile Water for Injection, USP, 2 B-D Safety Lok syringes with a safety sleeve and 2 alcohol swabs. (NDC 0085-4349-01)"
d1555,50.56,Peginterferon alfa-2b Injection,2495,Merck Sharp & Dohme Corp.,"PEGINTRON injection (peginterferon alfa-2b), 50 mcg per 0.5 mL; A box containing one 50 mcg per 0.5 mL vial of PEGINTRON Powder for Injection and one 5 mL vial of Diluent (Sterile Water for Injection USP), 2 BD Safety Lok syringes with a safety sleeve and 2 alcohol swabs (NDC 00085-4353-01)"
d1556,518.03,Pentamidine Isethionate (Nebupent) For Inhalation Solution,1706,"Fresenius Kabi USA, LLC","300 mg per vial, SDV, PF (NDC 63323-877-15)"
d1557,870.43,Pentoxifylline Extended-Release Tablets,3243,Mylan Pharmaceuticals Inc.,"400 mg, 100s (NDC 0378-0357-01)"
d1558,259.96,Pentoxifylline Extended-Release Tablets,7084,Mylan Pharmaceuticals Inc.,"400 mg, 500s (NDC 0378-0357-05)"
d1559,275.41,Phenobarbital Oral Solution,4652,Torrent Pharma Inc.,1 pint 473mL (NDC 16571-330-16)
d156,391.81,Bupivacaine Hydrochloride and Epinephrine Injection,8525,"Fresenius Kabi USA, LLC","Sensorcaine MPF w/EPI 0.5% (150 mg per 30 mL) (5 mg per mL) Sterile-Pak, SDV (NDC 63323-462-31)"
d1560,356.58,"Phenytoin Sodium Injection, USP",1217,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","50 mg/mL, 2 mL vial (NDC 0641-0493-25)"
d1561,293.04,"Phenytoin Sodium Injection, USP",4156,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","50 mg/mL, 5 mL vial (NDC 0641-2555-45)"
d1562,158.09,Physostigmine Salicylate Injection,3941,Akorn Pharmaceuticals,"Physostigmine Salicylate Injection, USP  1mg/mL (10amps/box, 2mL each) (NDC 17478-510-02)"
d1563,906.6,Pindolol Tablets,3810,Sun Pharmaceutical Industries Inc.,"Pindolol Tablets, 5mg and 10mg (100 count bottles)(NDC 57664-655-88, 57664-656-88)"
d1564,820.56,Pindolol Tablets,2973,"Mylan Pharmaceuticals Inc., a Viatris Company",Pindolol 5mg Tabs 100s (NDC 0378-0052-01)
d1565,980.03,Pindolol Tablets,6252,"Mylan Pharmaceuticals Inc., a Viatris Company",Pindolol 10mg Tabs 100s (NDC 0378-0127-01)
d1566,945.65,Pindolol Tablets,5760,Bayshore Pharmaceuticals,5 mg/ 100 count (NDC 76385-131-01)
d1567,784.97,Pindolol Tablets,9089,Bayshore Pharmaceuticals,10 mg/ 100 count (NDC 76385-132-01)
d1568,15.95,Pindolol Tablets,6428,"ANI Pharmaceuticals, Inc.","5 mg: Bottles of 100 tablets, (NDC 62559-560-01)"
d1569,947.08,Pindolol Tablets,8495,"ANI Pharmaceuticals, Inc.","10 mg; Bottles of 100 tablets, (NDC 62559-561-01)"
d157,593.16,Bupivacaine Hydrochloride and Epinephrine Injection,6145,"Fresenius Kabi USA, LLC",Sensorcaine MPF w/EPI 0.75% (225 mg per 30 mL) (7.5 mg per mL)  SDV  (NDC 63323-460-37)
d1570,307.34,Pindolol Tablets,2753,"Nostrum Laboratories, Inc.","5 mg, Bottle of 100 tablets (NDC 29033-028-01)"
d1572,699.99,Pindolol Tablets,5344,"Nostrum Laboratories, Inc.","10 mg, Bottle of 100 tablets (NDC 29033-029-01)"
d1574,59.75,Pioglitazone/Metformin HCl (ACTOPLUS MET®) Tablets,4134,Takeda Pharmaceuticals USA Inc.,15mg/500mg tablet (NDC 64764-0155-60)
d1575,60.42,Piroxicam Capsules,6892,Pfizer Pharmaceuticals,10 mg capsules; Bottles of 100 (NDC 59762-0140-1)
d1576,694.57,Piroxicam Capsules,6686,Pfizer Pharmaceuticals,20 mg capsules; Bottles of 100 (NDC 59762-0145-1)
d1577,291.65,Potassium Acetate Injection,8380,"Hospira, Inc.","100 mEq/50 mL (2 mEq/mL), Pharmacy Bulk Package Glass Fliptop Vial (NDC 00409-3294-51)"
d1578,729.28,Potassium Acetate Injection,4253,"Hospira, Inc.","40 mEq/mL (2 mEq/mL), Single Dose Plastic Fliptop Vial (NDC 00409-8183-01)"
d1579,614.3,Potassium Acetate Injection,4192,"Hospira, Inc.","100 mEq/50 mL (2 mEq/mL), Pharmacy Bulk Package Glass Fliptop Vial NovaPlus (NDC 00409-3294-25)"
d158,393.2,Bupivacaine Hydrochloride and Epinephrine Injection,5009,"Hospira, Inc.",25 mg/10 mL (2.5 mg/mL); Single Dose Glass Teartop Vial (NDC 00409-9042-01)
d1580,74.2,Potassium Acetate Injection,5163,"Hospira, Inc.","40 mEq/mL (2 mEq/mL), Single Dose Plastic Fliptop Vial NovaPlus (NDC 00409-8183-25)"
d1581,633.07,Potassium Acetate Injection,9040,"Exela Pharma Sciences, LLC",Potassium Acetate Inj. 40mEq (2mEq/ml) 20mL (NDC 51754-2001-4)
d1582,107.04,Potassium Chloride Concentrate Injection,2308,"Hospira, Inc.",10 mEq/5 mL (2 mEq/mL) Single Dose Glass Fliptop Vial (NDC 0409-6635-01)
d1583,683.58,Potassium Chloride Concentrate Injection,4304,"Hospira, Inc.",20 mEq/10 mL (2 mEq/mL) Single Dose Plastic Fliptop Vial (NDC 0409-6651-06)
d1584,95.47,Potassium Chloride Concentrate Injection,1031,"Hospira, Inc.",40 mEq/20 mL (2 mEq/mL) Single Dose Plastic Fliptop Vial (NDC 00409-6653-05)
d1585,205.88,Potassium Chloride Concentrate Injection,9371,"Fresenius Kabi USA, LLC","60 mEq per 30 mL (2 mEq per mL), Multi dose, plastic vial, (NDC 63323-967-30)"
d1586,842.11,Potassium Chloride Concentrate Injection,6082,"Fresenius Kabi USA, LLC","10 mEq per 5 mL(2 mEq per mL), Single dose, plastic vial, (NDC 63323-965-05)"
d1587,451.98,Potassium Chloride Concentrate Injection,2115,"Fresenius Kabi USA, LLC","20 mEq per 10 mL (2 mEq per mL), Single dose, plastic vial, (NDC 63323-965-10)"
d1588,52.71,Potassium Chloride Concentrate Injection,2687,"Fresenius Kabi USA, LLC","40 mEq per 20 mL (2 mEq per mL), Single dose, plastic vial, (NDC 63323-965-20)"
d1589,282.34,Potassium Chloride Concentrate Injection,4488,B. Braun Medical Inc.,(2 mEq K /mL) 250mL bulk package Catalog# S9402-11(NDC 0264-1940-20)
d159,646.46,Bupivacaine Hydrochloride and Epinephrine Injection,8919,"Hospira, Inc.",75 mg/30 mL (2.5 mg/mL); Single Dose Glass Teartop Vial (NDC 00409-9042-17)
d1590,416.37,Pravastatin Sodium (Pravachol) Tablets,2104,Bristol Myers Squibb Co.,20mg (NDC 0003-5178-05)
d1591,444.64,Pravastatin Sodium (Pravachol) Tablets,8910,Bristol Myers Squibb Co.,40mg (NDC 0003-5194-10)
d1592,493.26,Prednisolone Acetate 1% Ophthalmic Suspension,7637,Allergan,5 mL in 10 mL bottle (Pred Forte) (NDC 11980-180-05)
d1593,455.82,Prednisolone Acetate 1% Ophthalmic Suspension,1449,Allergan,10 mL in 15 mL bottle (Pred Forte) (NDC 11980-180-10)
d1594,30.48,Prednisolone Acetate 1% Ophthalmic Suspension,5810,Allergan,10 mL in 15 mL bottle (NDC 60758-119-10)
d1595,906.89,Prednisolone Acetate 1% Ophthalmic Suspension,9942,Allergan,15 mL in 15 mL bottle (NDC 60758-119-15)
d1596,495.78,Prednisolone Acetate 1% Ophthalmic Suspension,7319,Novartis,Prednisolone Acetate Suspension 1% 5mL in 1 bottle (NDC 61314-637-05)
d1597,792.51,Prednisolone Acetate 1% Ophthalmic Suspension,7982,Novartis,Prednisolone Acetate Suspension 1% 10mL in 1 bottle (NDC 61314-637-10)
d1598,249.89,Prednisolone Acetate 1% Ophthalmic Suspension,861,Novartis,Prednisolone Acetate Suspension 1% 15mL in 1 bottle (NDC 61314-637-15)
d1599,236.21,Prednisolone Acetate 1% Ophthalmic Suspension,5139,Allergan,15 mL in 15 mL bottle (Pred Forte) (NDC 11980-180-15)
d16,701.51,"Albuterol Sulfate Aerosol, Metered",1160,"Endo Pharmaceuticals, Inc.",90 mcg  (NDC 0254-1007-52)
d160,455.58,Bupivacaine Hydrochloride and Epinephrine Injection,5060,"Hospira, Inc.",125 mg/50 mL (2.5 mg/mL); Multiple Dose Glass Fliptop Vial (NDC 00409-9043-01)
d1600,941.17,Prednisolone Acetate 1% Ophthalmic Suspension,4402,Allergan,5 mL in 10 mL bottle (NDC 60758-119-05)
d1601,821.68,Procardia Capsules,7703,Pfizer Pharmaceuticals,10 mg capsule; Bottle of 100 (NDC 0069-2600-66)
d1602,460.06,"Progesterone Injection, USP",4955,AuroMedics Pharma LLC (mfd. by Eugia Pharmaceutical Specialities Ltd.),500 mg/10 mL multiple dose vial (NDC 55150-306-10)
d1603,588.34,ProHance® (Gadoteridol) Injection,9566,Bracco Diagnostics,"279.3 mg/mL, 5 x 10 mL pre-filled syringe, (NDC 0270-1111-16)"
d1604,980.31,ProHance® (Gadoteridol) Injection,3902,Bracco Diagnostics,"279.3 mg/mL, 5 x 17 mL pre-filled syringe, (NDC 0270-111-45)"
d1605,613.33,Promethazine (Phenergan) Injection,7553,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","25 mg/mL, 1 mL vial (NDC 0641-0928-25)"
d1606,448.9,Promethazine (Phenergan) Injection,6919,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","50 mg/mL ,1 mL vial (NDC 0641-0929-25)"
d1607,56.83,Promethazine (Phenergan) Injection,1590,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","25 mg/mL, 1 mL ampul (NDC 0641-1495-35)"
d1608,127.59,Promethazine (Phenergan) Injection,1378,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","50 mg/mL, 1 mL ampul (NDC 0641-1496-35)"
d1609,450.58,Promethazine (Phenergan) Injection,8066,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","PHENERGAN Injection 25 mg/mL, 1 mL vial (NDC 0641-6084-25)"
d161,924.02,Bupivacaine Hydrochloride and Epinephrine Injection,4722,"Hospira, Inc.",50 mg/10 mL (5 mg/mL); Single Dose Glass Teartop Vial (NDC 00409-9045-01)
d1610,686.55,Promethazine (Phenergan) Injection,7483,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","PHENERGAN Injection 50 mg/mL ,1 mL vial (NDC 0641-6085-25)"
d1611,26.45,Promethazine (Phenergan) Injection,7217,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","PHENERGAN Injection 25 mg/mL, 1 mL ampul (NDC 0641-6082-25)"
d1612,676.89,Promethazine (Phenergan) Injection,3813,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","PHENERGAN Injection 50 mg/mL, 1 mL ampul (NDC 0641-6083-25)"
d1613,848.93,Promethazine (Phenergan) Injection,6950,"X-GEN Pharmaceuticals, Inc.","25 mg/mL, Carton of 25 ampuls (NDC 39822-5525-3)"
d1614,119.76,Promethazine (Phenergan) Injection,2564,"X-GEN Pharmaceuticals, Inc.","50 mg/mL, Carton of 25 ampuls (NDC 39822-5550-6)"
d1615,606.57,"Promethazine Hydrochloride Injection, Solution",6616,Teva Pharmaceuticals,"25 mg/1 mL, 1 vial Single-Dose (NDC 0703-2191-01)"
d1616,391.61,"Promethazine Hydrochloride Injection, Solution",2474,Teva Pharmaceuticals,"50 mg/1 mL Injection, 1 Vial Single-Dose (NDC 0703-2201-01)"
d1617,928.26,"Promethazine Hydrochloride Injection, Solution",454,Teva Pharmaceuticals,"25 mg/1 mL, 25 in 1 tray (NDC 0703-2191-04)"
d1618,538.49,"Promethazine Hydrochloride Injection, Solution",7819,Teva Pharmaceuticals,"50 mg/1 mL, 25 in 1 tray (NDC 0703-2201-04)"
d1619,257.01,Propofol Injectable Emulsion,4727,"Fresenius Kabi USA, LLC","1000 mg per 100 mL (10 mg per mL), single patient use only, 100 mL (NDC 63323-269-65)"
d162,280.13,Bupivacaine Hydrochloride and Epinephrine Injection,1915,"Hospira, Inc.",150 mg/30 mL (5 mg/mL); Single Dose Glass Teartop Vial (NDC 00409-9045-17)
d1620,634.71,Propofol Injectable Emulsion,7620,Sagent Pharmaceuticals,200mg per 20ml (NDC 25021-608-20)
d1621,386.32,Propofol Injectable Emulsion,8834,Teva Pharmaceuticals,10MG/ML 10X100ML VL (NDC 0591-2136-68)
d1622,847.57,Propofol Injectable Emulsion,7849,"Hospira, Inc.",200 mg/20 mL (10 mg/mL) Single Dose/Single Patient Use Glass Fliptop Vial (NDC 00409-4699-30)
d1623,984.22,Propofol Injectable Emulsion,6427,"Hospira, Inc.",500 mg/50 mL (10 mg/mL) Single Dose/Single Patient Use Glass Fliptop Vial (NDC 00409-4699-33)
d1624,410.09,Propofol Injectable Emulsion,9898,"Hospira, Inc.",1000 mg/100 mL (10 mg/mL) Single Dose/Single Patient Use Glass Fliptop Vial (NDC 00409-4699-24)
d1625,582.08,Propofol Injectable Emulsion,6255,"Dr. Reddy's Laboratories, Inc.",200mg/20mL  10ct (NDC 43598-265-58)
d1626,790.49,Propofol Injectable Emulsion,3035,"Dr. Reddy's Laboratories, Inc.","200mg/20mL vial, individual (NDC 43598-265-20)"
d1627,754.78,Propofol Injectable Emulsion,5502,"Dr. Reddy's Laboratories, Inc.",500mg/50mL  20ct (NDC 43598-548-21)
d1628,981.62,Propofol Injectable Emulsion,3045,"Dr. Reddy's Laboratories, Inc.","500mg/50mL vial, individual (NDC 43598-548-50)"
d1629,486.98,Propofol Injectable Emulsion,4195,Teva Pharmaceuticals,10MG/ML 20X50ML VL (NDC 0591-2136-51)
d163,205.78,Bupivacaine Hydrochloride and Epinephrine Injection,4659,"Hospira, Inc.",250 mg/50 mL (5 mg/mL); Multiple Dose Glass Fliptop Vial (NDC 00409-9046-01)
d1630,954.78,Propofol Injectable Emulsion,2779,Teva Pharmaceuticals,10MG/ML 25X20ML VL (NDC 0591-2136-95)
d1631,977.47,Propofol Injectable Emulsion,152,"Fresenius Kabi USA, LLC","100 mg per 10 mL (10 mg per mL), single patient use only, 10 mL (NDC 63323-269-10)"
d1632,32.66,Propofol Injectable Emulsion,6982,"Fresenius Kabi USA, LLC","200 mg per 20 mL (10 mg per mL), single patient use only, 20 mL (NDC 63323-269-29)"
d1633,495.15,Propofol Injectable Emulsion,5319,"Fresenius Kabi USA, LLC","500 mg per 50 mL (10 mg per mL), single patient use only, 50 mL (NDC 63323-269-50)"
d1634,124.29,Propofol Injectable Emulsion,4451,Sagent Pharmaceuticals,500mg per 50ml (NDC 250-21-608-50)
d1635,211.54,Propofol Injectable Emulsion,718,Sagent Pharmaceuticals,1000mg per 100ml (NDC 25021-608-51)
d1636,531.97,Propofol Injectable Emulsion,3183,"Hospira, Inc.",200 mg/20 mL (10 mg/mL) Single Use Vial (containing 0.005% edetate disodium EDTA) (NDC 00069-0209-10)
d1637,360.16,Propofol Injectable Emulsion,2657,"Hospira, Inc.",500 mg/50 mL (10 mg/mL) Single Use Vial (containing 0.005% edetate disodium EDTA) (NDC 00069-0234-20)
